human_id,ST,host_source_raw,collection_year,country
SAMD00497851,ST4961,Homo sapiens,2020,Japan:Yamagata
SAMD00497859,ST1634,Homo sapiens,2019,Japan:Yamagata
SAMD00497861,ST268,Homo sapiens,2019,Japan:Yamagata
SAMD00497875,ST36,Homo sapiens,2020,Japan:Ibaraki
SAMD00497876,ST36,Homo sapiens,2020,Japan:Ibaraki
SAMD00497887,ST147,Homo sapiens,2020,Japan:Ibaraki
SAMD00497888,ST219,Homo sapiens,2020,Japan:Ibaraki
SAMD00497892,ST869,Homo sapiens,2020,Japan:Ibaraki
SAMD00497893,ST15,Homo sapiens,2019,Japan:Ibaraki
SAMD00497895,ST45,Homo sapiens,2019,Japan:Ibaraki
SAMD00497899,ST722,Homo sapiens,2020,Japan:Ibaraki
SAMD00497903,ST22,Homo sapiens,2019,Japan:Tochigi
SAMD00497910,ST17,Homo sapiens,2019,Japan:Tochigi
SAMD00497911,ST25,Homo sapiens,2019,Japan:Tochigi
SAMD00497918,ST661,Homo sapiens,2019,Japan:Tochigi
SAMD00497920,ST20,Homo sapiens,2019,Japan:Tochigi
SAMD00497923,ST655,Homo sapiens,2019,Japan:Tochigi
SAMD00497928,ST25,Homo sapiens,2019,Japan:Tochigi
SAMD00497931,ST940,Homo sapiens,2019,Japan:Tochigi
SAMD00497935,ST6077,Homo sapiens,2019,Japan:Tochigi
SAMD00497952,ST617,Homo sapiens,2020,Japan:Tochigi
SAMD00497953,ST723,Homo sapiens,2020,Japan:Tochigi
SAMD00497954,ST307,Homo sapiens,2020,Japan:Tochigi
SAMD00497955,ST3663,Homo sapiens,2020,Japan:Tochigi
SAMD00497968,ST661,Homo sapiens,2020,Japan:Tochigi
SAMD00497993,ST517,Homo sapiens,2019,Japan:Tochigi
SAMD00497995,ST2485,Homo sapiens,2019,Japan:Tochigi
SAMD00497996,ST45,Homo sapiens,2019,Japan:Tochigi
SAMD00498003,ST45,Homo sapiens,2019,Japan:Tochigi
SAMD00498013,ST7174,Homo sapiens,2019,Japan:Gunma
SAMD00498014,ST15,Homo sapiens,2019,Japan:Gunma
SAMD00498015,ST268,Homo sapiens,2019,Japan:Gunma
SAMD00498016,ST268,Homo sapiens,2020,Japan:Gunma
SAMD00498017,ST45,Homo sapiens,2019,Japan:Gunma
SAMD00498018,ST412,Homo sapiens,2019,Japan:Gunma
SAMD00498026,ST268,Homo sapiens,2019,Japan:Gunma
SAMD00498027,ST35,Homo sapiens,2019,Japan:Gunma
SAMD00498028,ST268,Homo sapiens,2019,Japan:Gunma
SAMD00498041,ST37,Homo sapiens,2019,Japan:Gunma
SAMD00498043,ST412,Homo sapiens,2019,Japan:Gunma
SAMD00498047,ST7175,Homo sapiens,2020,Japan:Gunma
SAMD00498048,ST290,Homo sapiens,2020,Japan:Gunma
SAMD00498050,ST268,Homo sapiens,2020,Japan:Gunma
SAMD00498068,ST15,Homo sapiens,2019,Japan:Saitama
SAMD00498073,ST3369,Homo sapiens,2019,Japan:Saitama
SAMD00498075,ST628,Homo sapiens,2019,Japan:Saitama
SAMD00498091,ST25,Homo sapiens,2020,Japan:Saitama
SAMD00498094,ST65,Homo sapiens,2020,Japan:Saitama
SAMD00498104,ST412,Homo sapiens,2019,Japan:Saitama
SAMD00498112,ST896,Homo sapiens,2019,Japan:Saitama
SAMD00498115,ST412,Homo sapiens,2019,Japan:Saitama
SAMD00498116,ST4423,Homo sapiens,2019,Japan:Saitama
SAMD00498118,ST147,Homo sapiens,2019,Japan:Saitama
SAMD00498120,ST37,Homo sapiens,2019,Japan:Saitama
SAMD00498129,ST37,Homo sapiens,2020,Japan:Saitama
SAMD00498137,ST101,Homo sapiens,2019,Japan:Saitama
SAMD00498142,ST412,Homo sapiens,2019,Japan:Saitama
SAMD00498145,ST290,Homo sapiens,2019,Japan:Saitama
SAMD00498146,ST995,Homo sapiens,2019,Japan:Saitama
SAMD00498152,ST528,Homo sapiens,2020,Japan:Saitama
SAMD00498158,ST219,Homo sapiens,2020,Japan:Saitama
SAMD00498161,ST219,Homo sapiens,2020,Japan:Saitama
SAMD00498162,ST37,Homo sapiens,2020,Japan:Saitama
SAMD00498164,ST280,Homo sapiens,2020,Japan:Saitama
SAMD00498167,ST211,Homo sapiens,2019,Japan:Saitama
SAMD00498168,ST6,Homo sapiens,2019,Japan:Saitama
SAMD00498169,ST211,Homo sapiens,2019,Japan:Saitama
SAMD00498172,ST219,Homo sapiens,2019,Japan:Saitama
SAMD00498176,ST219,Homo sapiens,2019,Japan:Saitama
SAMD00498179,ST37,Homo sapiens,2019,Japan:Saitama
SAMD00498186,ST896,Homo sapiens,2019,Japan:Saitama
SAMD00498200,ST2004,Homo sapiens,2019,Japan:Saitama
SAMD00498202,ST2715,Homo sapiens,2019,Japan:Saitama
SAMD00498203,ST37,Homo sapiens,2019,Japan:Saitama
SAMD00498204,ST12,Homo sapiens,2019,Japan:Saitama
SAMD00498214,ST16,Homo sapiens,2020,Japan:Saitama
SAMD00498228,ST200,Homo sapiens,2019,Japan:Saitama
SAMD00498237,ST881,Homo sapiens,2019,Japan:Saitama
SAMD00498238,ST5120,Homo sapiens,2019,Japan:Saitama
SAMD00498239,ST20,Homo sapiens,2020,Japan:Saitama
SAMD00498241,ST86,Homo sapiens,2019,Japan:Saitama
SAMD00498246,ST280,Homo sapiens,2019,Japan:Saitama
SAMD00498248,ST7176,Homo sapiens,2019,Japan:Saitama
SAMD00498251,ST530,Homo sapiens,2020,Japan:Saitama
SAMD00498252,ST45,Homo sapiens,2020,Japan:Saitama
SAMD00498268,ST268,Homo sapiens,2019,Japan:Saitama
SAMD00498269,ST1530,Homo sapiens,2019,Japan:Saitama
SAMD00498277,ST37,Homo sapiens,2020,Japan:Chiba
SAMD00498301,ST966,Homo sapiens,2019,Japan:Chiba
SAMD00498303,ST4341,Homo sapiens,2019,Japan:Chiba
SAMD00498307,ST307,Homo sapiens,2019,Japan:Chiba
SAMD00498309,ST873,Homo sapiens,2019,Japan:Chiba
SAMD00498318,ST307,Homo sapiens,2019,Japan:Chiba
SAMD00498324,ST8304,Homo sapiens,2019,Japan:Chiba
SAMD00498326,ST4857,Homo sapiens,2019,Japan:Chiba
SAMD00498332,ST896,Homo sapiens,2020,Japan:Chiba
SAMD00498341,ST412,Homo sapiens,2019,Japan:Chiba
SAMD00498342,ST412,Homo sapiens,2019,Japan:Chiba
SAMD00498347,ST211,Homo sapiens,2019,Japan:Chiba
SAMD00498351,ST37,Homo sapiens,2019,Japan:Chiba
SAMD00498352,ST147,Homo sapiens,2019,Japan:Chiba
SAMD00498354,ST101,Homo sapiens,2019,Japan:Chiba
SAMD00498360,ST219,Homo sapiens,2020,Japan:Chiba
SAMD00498367,ST896,Homo sapiens,2019,Japan:Chiba
SAMD00498369,ST101,Homo sapiens,2019,Japan:Chiba
SAMD00498374,ST219,Homo sapiens,2019,Japan:Chiba
SAMD00498382,ST7177,Homo sapiens,2020,Japan:Chiba
SAMD00498385,ST66,Homo sapiens,2020,Japan:Chiba
SAMD00498404,ST307,Homo sapiens,2019,Japan:Chiba
SAMD00498406,ST307,Homo sapiens,2019,Japan:Chiba
SAMD00498410,ST551,Homo sapiens,2019,Japan:Chiba
SAMD00498412,ST15,Homo sapiens,2020,Japan:Chiba
SAMD00498418,ST219,Homo sapiens,2019,Japan:Chiba
SAMD00498424,ST101,Homo sapiens,2020,Japan:Tokyo
SAMD00498428,ST461,Homo sapiens,2020,Japan:Tokyo
SAMD00498431,ST461,Homo sapiens,2020,Japan:Tokyo
SAMD00498433,ST219,Homo sapiens,2020,Japan:Tokyo
SAMD00498434,ST1454,Homo sapiens,2020,Japan:Tokyo
SAMD00498449,ST374,Homo sapiens,2020,Japan:Tokyo
SAMD00498459,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498462,ST742,Homo sapiens,2019,Japan:Tokyo
SAMD00498463,ST219,Homo sapiens,2019,Japan:Tokyo
SAMD00498468,ST374,Homo sapiens,2019,Japan:Tokyo
SAMD00498471,ST394,Homo sapiens,2019,Japan:Tokyo
SAMD00498476,ST4459,Homo sapiens,2020,Japan:Tokyo
SAMD00498478,ST7178,Homo sapiens,2019,Japan:Tokyo
SAMD00498480,ST869,Homo sapiens,2019,Japan:Tokyo
SAMD00498486,ST1393,Homo sapiens,2019,Japan:Tokyo
SAMD00498491,ST3172,Homo sapiens,2019,Japan:Tokyo
SAMD00498493,ST3172,Homo sapiens,2019,Japan:Tokyo
SAMD00498495,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498496,ST655,Homo sapiens,2019,Japan:Tokyo
SAMD00498497,ST3172,Homo sapiens,2019,Japan:Tokyo
SAMD00498498,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498499,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498500,ST3172,Homo sapiens,2019,Japan:Tokyo
SAMD00498501,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498508,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498511,ST101,Homo sapiens,2019,Japan:Tokyo
SAMD00498516,ST791,Homo sapiens,2019,Japan:Tokyo
SAMD00498518,ST628,Homo sapiens,2019,Japan:Tokyo
SAMD00498519,ST791,Homo sapiens,2019,Japan:Tokyo
SAMD00498520,ST791,Homo sapiens,2019,Japan:Tokyo
SAMD00498521,ST14,Homo sapiens,2019,Japan:Tokyo
SAMD00498534,ST1203,Homo sapiens,2019,Japan:Tokyo
SAMD00498535,ST412,Homo sapiens,2020,Japan:Tokyo
SAMD00498542,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498543,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498545,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498546,ST45,Homo sapiens,2020,Japan:Tokyo
SAMD00498551,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498552,ST442,Homo sapiens,2020,Japan:Tokyo
SAMD00498553,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498554,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498555,ST11,Homo sapiens,2020,Japan:Tokyo
SAMD00498556,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498557,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498558,ST4274,Homo sapiens,2020,Japan:Tokyo
SAMD00498562,ST461,Homo sapiens,2020,Japan:Tokyo
SAMD00498568,ST280,Homo sapiens,2019,Japan:Tokyo
SAMD00498585,ST36,Homo sapiens,2019,Japan:Tokyo
SAMD00498589,ST101,Homo sapiens,2019,Japan:Tokyo
SAMD00498593,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498594,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498598,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498599,ST685,Homo sapiens,2019,Japan:Tokyo
SAMD00498600,ST101,Homo sapiens,2019,Japan:Tokyo
SAMD00498624,ST17,Homo sapiens,2019,Japan:Tokyo
SAMD00498629,ST4295,Homo sapiens,2019,Japan:Tokyo
SAMD00498632,ST896,Homo sapiens,2019,Japan:Tokyo
SAMD00498636,ST11,Homo sapiens,2020,Japan:Tokyo
SAMD00498646,ST1026,Homo sapiens,2020,Japan:Tokyo
SAMD00498651,ST1026,Homo sapiens,2020,Japan:Tokyo
SAMD00498661,ST17,Homo sapiens,2019,Japan:Tokyo
SAMD00498669,ST45,Homo sapiens,2019,Japan:Tokyo
SAMD00498672,ST45,Homo sapiens,2019,Japan:Tokyo
SAMD00498679,ST218,Homo sapiens,2019,Japan:Tokyo
SAMD00498686,ST7179,Homo sapiens,2020,Japan:Tokyo
SAMD00498689,ST7180,Homo sapiens,2020,Japan:Tokyo
SAMD00498693,ST25,Homo sapiens,2019,Japan:Tokyo
SAMD00498694,ST1229,Homo sapiens,2019,Japan:Tokyo
SAMD00498696,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498707,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498708,ST45,Homo sapiens,2019,Japan:Tokyo
SAMD00498717,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498727,ST1876,Homo sapiens,2019,Japan:Tokyo
SAMD00498728,ST882,Homo sapiens,2019,Japan:Tokyo
SAMD00498729,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498733,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498734,ST628,Homo sapiens,2019,Japan:Tokyo
SAMD00498739,ST1271,Homo sapiens,2020,Japan:Tokyo
SAMD00498741,ST455,Homo sapiens,2020,Japan:Tokyo
SAMD00498743,ST1779,Homo sapiens,2020,Japan:Tokyo
SAMD00498744,ST1779,Homo sapiens,2020,Japan:Tokyo
SAMD00498746,ST1779,Homo sapiens,2020,Japan:Tokyo
SAMD00498756,ST307,Homo sapiens,2019,Japan:Tokyo
SAMD00498760,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498761,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498764,ST2854,Homo sapiens,2019,Japan:Tokyo
SAMD00498765,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498775,ST37,Homo sapiens,2020,Japan:Tokyo
SAMD00498776,ST231,Homo sapiens,2019,Japan:Tokyo
SAMD00498782,ST307,Homo sapiens,2019,Japan:Tokyo
SAMD00498785,ST4295,Homo sapiens,2019,Japan:Tokyo
SAMD00498791,ST219,Homo sapiens,2019,Japan:Tokyo
SAMD00498799,ST34,Homo sapiens,2019,Japan:Tokyo
SAMD00498803,ST753,Homo sapiens,2019,Japan:Tokyo
SAMD00498805,ST628,Homo sapiens,2019,Japan:Tokyo
SAMD00498814,ST219,Homo sapiens,2020,Japan:Tokyo
SAMD00498819,ST6569,Homo sapiens,2020,Japan:Tokyo
SAMD00498828,ST17,Homo sapiens,2019,Japan:Tokyo
SAMD00498829,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498834,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498836,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498840,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498843,ST876,Homo sapiens,2019,Japan:Tokyo
SAMD00498844,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498846,ST42,Homo sapiens,2019,Japan:Tokyo
SAMD00498852,ST876,Homo sapiens,2020,Japan:Tokyo
SAMD00498854,ST876,Homo sapiens,2020,Japan:Tokyo
SAMD00498856,ST876,Homo sapiens,2020,Japan:Tokyo
SAMD00498859,ST7181,Homo sapiens,2020,Japan:Tokyo
SAMD00498860,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498861,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498865,ST1271,Homo sapiens,2019,Japan:Tokyo
SAMD00498866,ST48,Homo sapiens,2019,Japan:Tokyo
SAMD00498867,ST5,Homo sapiens,2019,Japan:Tokyo
SAMD00498871,ST784,Homo sapiens,2019,Japan:Tokyo
SAMD00498873,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498875,ST709,Homo sapiens,2019,Japan:Tokyo
SAMD00498878,ST716,Homo sapiens,2019,Japan:Tokyo
SAMD00498880,ST101,Homo sapiens,2019,Japan:Tokyo
SAMD00498881,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498882,ST3409,Homo sapiens,2019,Japan:Tokyo
SAMD00498883,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498889,ST323,Homo sapiens,2019,Japan:Tokyo
SAMD00498890,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498892,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498894,ST12,Homo sapiens,2019,Japan:Tokyo
SAMD00498900,ST7182,Homo sapiens,2019,Japan:Tokyo
SAMD00498901,ST4459,Homo sapiens,2020,Japan:Tokyo
SAMD00498903,ST876,Homo sapiens,2020,Japan:Tokyo
SAMD00498908,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498910,ST940,Homo sapiens,2020,Japan:Tokyo
SAMD00498911,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498912,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498913,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498914,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498915,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498916,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498917,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00498922,ST307,Homo sapiens,2020,Japan:Tokyo
SAMD00498930,ST7183,Homo sapiens,2019,Japan:Tokyo
SAMD00498934,ST65,Homo sapiens,2019,Japan:Tokyo
SAMD00498935,ST51686,Homo sapiens,2019,Japan:Tokyo
SAMD00498942,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00498943,ST307,Homo sapiens,2019,Japan:Tokyo
SAMD00498949,ST29,Homo sapiens,2019,Japan:Tokyo
SAMD00498956,ST36,Homo sapiens,2019,Japan:Tokyo
SAMD00498960,ST7184,Homo sapiens,2019,Japan:Tokyo
SAMD00498961,ST412,Homo sapiens,2019,Japan:Tokyo
SAMD00498970,ST3155,Homo sapiens,2019,Japan:Tokyo
SAMD00498971,ST342,Homo sapiens,2019,Japan:Tokyo
SAMD00498973,ST792,Homo sapiens,2019,Japan:Tokyo
SAMD00498974,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498982,ST17,Homo sapiens,2019,Japan:Tokyo
SAMD00498983,ST1634,Homo sapiens,2019,Japan:Tokyo
SAMD00498986,ST15,Homo sapiens,2019,Japan:Tokyo
SAMD00498988,ST258,Homo sapiens,2019,Japan:Tokyo
SAMD00498989,ST45,Homo sapiens,2019,Japan:Tokyo
SAMD00498990,ST1035,Homo sapiens,2019,Japan:Tokyo
SAMD00498995,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00499008,ST3393,Homo sapiens,2020,Japan:Tokyo
SAMD00499009,ST3393,Homo sapiens,2020,Japan:Tokyo
SAMD00499010,ST3393,Homo sapiens,2020,Japan:Tokyo
SAMD00499011,ST1087,Homo sapiens,2020,Japan:Tokyo
SAMD00499025,ST101,Homo sapiens,2019,Japan:Tokyo
SAMD00499026,ST268,Homo sapiens,2019,Japan:Tokyo
SAMD00499031,ST37,Homo sapiens,2020,Japan:Tokyo
SAMD00499033,ST716,Homo sapiens,2020,Japan:Tokyo
SAMD00499036,ST15,Homo sapiens,2020,Japan:Tokyo
SAMD00499039,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00499046,ST7,Homo sapiens,2019,Japan:Tokyo
SAMD00499048,ST4,Homo sapiens,2019,Japan:Tokyo
SAMD00499049,ST655,Homo sapiens,2019,Japan:Tokyo
SAMD00499067,ST485,Homo sapiens,2019,Japan:Tokyo
SAMD00499081,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00499083,ST3106,Homo sapiens,2019,Japan:Tokyo
SAMD00499084,ST219,Homo sapiens,2019,Japan:Tokyo
SAMD00499094,ST1145,Homo sapiens,2020,Japan:Tokyo
SAMD00499107,ST37,Homo sapiens,2019,Japan:Tokyo
SAMD00499108,ST219,Homo sapiens,2019,Japan:Tokyo
SAMD00499110,ST36,Homo sapiens,2019,Japan:Tokyo
SAMD00499111,ST1271,Homo sapiens,2019,Japan:Tokyo
SAMD00499112,ST219,Homo sapiens,2019,Japan:Tokyo
SAMD00499120,ST14,Homo sapiens,2019,Japan:Tokyo
SAMD00499133,ST48,Homo sapiens,2020,Japan:Tokyo
SAMD00499138,ST1919,Homo sapiens,2019,Japan:Tokyo
SAMD00499140,ST14,Homo sapiens,2019,Japan:Tokyo
SAMD00499146,ST716,Homo sapiens,2019,Japan:Tokyo
SAMD00499170,ST412,Homo sapiens,2019,Japan:Kanagawa
SAMD00499175,ST7185,Homo sapiens,2019,Japan:Kanagawa
SAMD00499178,ST17,Homo sapiens,2019,Japan:Kanagawa
SAMD00499198,ST24,Homo sapiens,2020,Japan:Kanagawa
SAMD00499209,ST6791,Homo sapiens,2019,Japan:Kanagawa
SAMD00499211,ST299,Homo sapiens,2019,Japan:Kanagawa
SAMD00499214,ST219,Homo sapiens,2019,Japan:Kanagawa
SAMD00499215,ST17,Homo sapiens,2019,Japan:Kanagawa
SAMD00499216,ST1049,Homo sapiens,2019,Japan:Kanagawa
SAMD00499219,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499233,ST299,Homo sapiens,2019,Japan:Kanagawa
SAMD00499237,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499238,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499243,ST280,Homo sapiens,2019,Japan:Kanagawa
SAMD00499249,ST587,Homo sapiens,2020,Japan:Kanagawa
SAMD00499260,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499264,ST726,Homo sapiens,2019,Japan:Kanagawa
SAMD00499265,ST726,Homo sapiens,2019,Japan:Kanagawa
SAMD00499269,ST1876,Homo sapiens,2019,Japan:Kanagawa
SAMD00499270,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499274,ST485,Homo sapiens,2019,Japan:Kanagawa
SAMD00499278,ST6908,Homo sapiens,2019,Japan:Kanagawa
SAMD00499279,ST726,Homo sapiens,2019,Japan:Kanagawa
SAMD00499285,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499293,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499303,ST307,Homo sapiens,2020,Japan:Kanagawa
SAMD00499313,ST307,Homo sapiens,2019,Japan:Kanagawa
SAMD00499314,ST5755,Homo sapiens,2020,Japan:Kanagawa
SAMD00499335,ST307,Homo sapiens,2020,Japan:Niigata
SAMD00499347,ST101,Homo sapiens,2019,Japan:Niigata
SAMD00499352,ST25,Homo sapiens,2020,Japan:Niigata
SAMD00499369,ST17,Homo sapiens,2020,Japan:Niigata
SAMD00499378,ST661,Homo sapiens,2020,Japan:Niigata
SAMD00499381,ST37,Homo sapiens,2020,Japan:Niigata
SAMD00499388,ST15,Homo sapiens,2019,Japan:Toyama
SAMD00499393,ST997,Homo sapiens,2020,Japan:Toyama
SAMD00499409,ST45,Homo sapiens,2019,Japan:Ishikawa
SAMD00499414,ST17,Homo sapiens,2019,Japan:Ishikawa
SAMD00499415,ST65,Homo sapiens,2019,Japan:Ishikawa
SAMD00499426,ST609,Homo sapiens,2020,Japan:Ishikawa
SAMD00499427,ST70,Homo sapiens,2020,Japan:Ishikawa
SAMD00499444,ST34,Homo sapiens,2019,Japan:Yamanashi
